ID,CATLEVEL,DESCRIPTION
10762,3,Wedge incorr./miss.
10763,3,Wedge in incorr. orientation
10764,3,Cutout incorr./miss.
10765,3,Cutout in wrong orient.
10766,3,Pb cutout incorr./miss.
10767,3,Pb cutout in wrong orientation
10768,3,Compensator incorr./miss.
10769,3,Custom attribute SL 1 (Most Severe)
10770,3,Custom attribute SL 2
10771,3,Custom attribute SL 3
10772,3,Custom attribute SL 4
10773,3,Custom attribute SL 5 (Least Severe)
10774,1,Registration
10775,2,Name/IDs/Personal
10776,2,Full name incorr./miss.
10777,3,Full name incorr./miss.
10778,3,Birth date incorr./miss.
10779,3,Age incorr./miss.
10780,3,Medical record no. incorr./miss.
10781,3,Gender incorr./miss.
10782,3,SS no. incorr./miss.
10783,3,Duplicate patient entry
10784,3,Primary payer incorr./miss.
10785,3,Custom attribute SL 1 (Most Severe)
10786,3,Custom attribute SL 2
10787,3,Custom attribute SL 3
10788,3,Custom attribute SL 4
10789,3,Custom attribute SL 5 (Least Severe)
10790,2,Demographics
10791,3,Medical record no. incorr./miss.
10792,3,RO record no. incorr./miss.
10793,3,Birth date incorr./miss.
10794,3,Age incorr./miss.
10795,3,Birth place incorr./miss.
10796,3,Gender incorr./miss.
10797,3,SS no. incorr./miss.
10798,3,Race incorr./miss.
10799,3,Religion incorr./miss.
10800,3,Marital status incorr./miss.
10801,3,Children incorr./miss.
10802,3,Language incorr./miss.
10803,3,Custom attribute SL 1 (Most Severe)
10804,3,Custom attribute SL 2
10805,3,Custom attribute SL 2
10806,3,Custom attribute SL 3
10807,3,Custom attribute SL 3
10808,3,Custom attribute SL 4
10809,3,Custom attribute SL 5 (Least Severe)
10810,2,Admission
10811,3,Diagnosis incorr./miss.
10812,3,Histology incorr./miss.
10813,3,H/P grade incorr./miss.
10814,3,TNM stage incorr./miss.
10815,3,Treatment intent incorr./miss.
10816,3,Surgery incorr./miss.
10817,3,Chemotherapy incorr./miss.
10818,3,Previous RT incorr./miss.
10819,3,Special precautions incorr./miss.
10820,3,Special precautions incorr./miss.
10821,3,Special precautions incorr./miss.
10822,3,Expiration date incorr./miss.
10823,3,Transportation incorr./miss.
10824,3,In/outpatient incorr./miss.
10825,3,Nursing unit incorr./miss.
10826,3,Nurse incorr./miss.
10827,3,Informed consent not signed/miss.
10828,3,Custom attribute SL 1 (Most Severe)
10829,3,Custom attribute SL 2
10830,3,Custom attribute SL 3
10831,3,Custom attribute SL 4
10832,3,Custom attribute SL 5 (Least Severe)
10833,3,Admit date/time incorr./miss.
10834,3,Discharge date incorr./miss.
10835,3,Expiration date incorr./miss.
10836,3,Transportation incorr./miss.
10837,3,Transportation incorr./miss.
10838,3,Nursing unit incorr./miss.
10839,3,Nurse incorr./miss.
10840,3,Informed consent not signed/miss.
10841,3,Custom attribute SL 1 (Most Severe)
10842,3,Custom attribute SL 2
10843,3,Custom attribute SL 3
10844,3,Custom attribute SL 4
10845,3,Custom attribute SL 5 (Least Severe)
10846,3,In/outpatient incorr./miss.
10847,3,Nursing unit incorr./miss.
10848,3,Nurse incorr./miss.
10849,3,Informed consent not signed/miss.
10850,3,Custom attribute SL 1 (Most Severe)
10851,3,Custom attribute SL 2
10852,3,Custom attribute SL 3
10853,3,Custom attribute SL 4
10854,3,Custom attribute SL 5 (Least Severe)
10855,2,Attending
10856,3,Department incorr./miss.
10857,3,Attending physician incorr./miss.
10858,3,Attending resident incorr./miss.
10859,3,Custom attribute SL 1 (Most Severe)
10860,3,Custom attribute SL 2
10861,3,Custom attribute SL 3
10862,3,Custom attribute SL 4
10863,3,Custom attribute SL 5 (Least Severe)
10864,2,Referral
10865,3,Primary physician incorr./miss.
10866,3,Referring physician incorr./miss.
10867,3,Referring facility incorr./miss.
10868,3,Referred to facility incorr./miss.
10869,3,Custom attribute SL 1 (Most Severe)
10870,3,Custom attribute SL 2
10871,3,Custom attribute SL 3
10872,3,Custom attribute SL 4
10873,3,Custom attribute SL 5 (Least Severe)
10874,2,Home/Work
10875,3,Home address incorr./miss.
10876,3,Home phone incorr./miss.
10877,3,Work address incorr./miss.
10878,3,Work phone incorr./miss.
10879,3,Custom attribute SL 1 (Most Severe)
10880,3,Custom attribute SL 2
10881,3,Custom attribute SL 3
10882,3,Custom attribute SL 4
10883,3,Custom attribute SL 5 (Least Severe)
10884,2,Relative
10885,3,Relationship incorr./miss.
10886,3,Full name incorr./miss.
10887,3,Home address incorr./miss.
10888,3,Home phone incorr./miss.
10889,3,Work address incorr./miss.
10890,3,Work phone incorr./miss.
10891,3,Custom attribute SL 1 (Most Severe)
10892,3,Custom attribute SL 2
10893,3,Custom attribute SL 3
10894,3,Custom attribute SL 4
10895,3,Custom attribute SL 5 (Least Severe)
10896,2,Emergency
10897,3,Relationship incorr./miss.
10898,3,Full name incorr./miss.
10899,3,Address incorr./miss.
10900,3,Home phone incorr./miss.
10901,3,Work phone incorr./miss.
10902,3,Custom attribute SL 1 (Most Severe)
10903,3,Custom attribute SL 2
10904,3,Custom attribute SL 3
10905,3,Custom attribute SL 4
10906,3,Custom attribute SL 5 (Least Severe)
10907,2,Home Care
10908,3,Facility/hospice incorr./miss.
10909,3,Phone incorr./miss.
10910,3,Contact nurse incorr./miss.
10911,3,Contact social worker incorr./miss.
10912,3,Patient Self Determination Act (PSDA) info not given
10913,3,"PSDA info given, date not recorded"
10914,3,Custom attribute SL 1 (Most Severe)
10915,3,Custom attribute SL 2
10916,3,Custom attribute SL 3
10917,3,Custom attribute SL 4
10918,3,Custom attribute SL 5 (Least Severe)
10919,1,Scheduling
10920,2,Appointments
10921,3,Wrong patient given appointment
10922,3,Appointment not scheduled
10923,3,Conflict of appointment dates/times
10924,3,Appointment activity incorr./miss.
10925,3,Appointment dates incorr./miss.
10926,3,Appointment times incorr./miss.
10927,3,Appointment times incorr./miss.
10928,3,No. of appointments incorr./miss.
10929,3,Appointment duration(s) incorr./miss.
10930,3,Assigning staff incorr./miss.
10931,3,Appointment location incorr./miss.
10932,3,Custom attribute SL 1 (Most Severe)
10933,3,Custom attribute SL 2
10934,3,Custom attribute SL 3
10935,3,Custom attribute SL 4
10936,3,Custom attribute SL 5 (Least Severe)
10937,2,Billing
10938,3,Codes
10939,2,Billing
10940,1,Billing
10941,2,Codes
10942,3,Patient incorr./miss.
10943,3,Date of charge incorr./miss.
10944,3,Description incorr./miss.
10945,3,CPT code incorr./miss.
10946,3,CPT code modifier incorr./miss.
10947,3,Internal hospital code incorr./miss.
10948,3,Internal hospital code modifier incorr./miss.
10949,3,No. of charges incorr./miss.
10950,3,Diagnosis (ICD) code(s) incorr./miss.
10951,3,In/outpatient designation incorr./miss.
10952,3,Attending physician incorr./miss.
10953,3,Department where code billed incorr./miss.
10954,3,Facility where procedure billed incorr./miss.
10955,3,Professional component posted incorr./miss.
10956,3,Technical component posted incorr./miss.
10957,3,Insurer authorization info. incorr./miss.
10958,3,Insurer authorization no. incorr./miss.
10959,3,Type of procedure/supply incorr./miss.
10960,3,Custom attribute SL 1 (Most Severe)
10961,3,Custom attribute SL 2
10962,3,Custom attribute SL 3
10963,3,Custom attribute SL 4
10964,3,Custom attribute SL 5 (Least Severe)
10965,1,Radiographic Simulation
10966,2,Patient Setup
10967,3,Sim field no. incorr./miss.
10968,3,Sim field name incorr./miss.
10969,3,Machine incorr./miss.
10970,3,Patient position not isocentric to midline (SAD)
10971,3,Patient position not to specified SSD
10972,3,AP SSD miss.
10973,3,PA SSD miss.
10974,3,RL/Medial SSD miss.
10975,3,LL/Medial SSD miss.
10976,3,Calc. point SSD miss.
10977,3,SFD miss./incomplete
10978,3,Table vertical does not agree w/SSD
10979,3,SSD read incorrectly
10980,3,Separation does not agree w/SSD
10981,3,Separation miss.
10982,3,Incorrect contour
10983,3,R&V: Failure to capture all Tx fields
10984,3,R&V: Failure to capture correct Tx fields
10985,3,R&V: Failure to capture setup fields
10986,3,Setup instructions incorr.
10987,3,Setup instructions miss./incomplete
10988,3,Custom attribute SL 1 (Most Severe)
10989,3,Custom attribute SL 2
10990,3,Custom attribute SL 3
10991,3,Custom attribute SL 4
10992,3,Custom attribute SL 5 (Least Severe)
10993,2,Setup Photos/Diagrams
10994,3,Face ID photo incorr./miss.
10995,3,Setup field photos incorr./miss.
10996,3,Setup field photos not labeled
10997,3,Setup field photos not scanned
10998,3,Setup field photos not downloaded
10999,3,Wrong setup field photos scanned
11000,3,Setup field diagrams incorr./miss.
11001,3,Setup field diagrams not labeled
11002,3,Setup field diagrams not scanned
11003,3,Setup field diagrams not downloaded
11004,3,Wrong setup field diagrams scanned
11005,3,Custom attribute SL 1 (Most Severe)
11006,3,Custom attribute SL 2
11007,3,Custom attribute SL 3
11008,3,Custom attribute SL 4
11009,3,Custom attribute SL 5 (Least Severe)
11010,2,Films
11011,3,Patient name incorr./miss.
11012,3,RO record no. incorr./miss.
11013,3,Date incorr./miss.
11014,3,Sim field no. incorr./miss.
11015,3,Sim field name incorr./miss.
11016,3,Labeling of anatomical orientation incorr.
11017,3,"kVp, mA, secs. not documented"
11018,3,"Poor technique factors (kVp, mA., secs.)"
11019,3,X&Y plane blade settings incorr.
11020,3,Patient position not flat/straight
11021,3,Film(s) not signed/dated by MD
11022,3,Scanned DRRs not approved by MD
11023,3,Custom attribute SL 1 (Most Severe)
11024,3,Custom attribute SL 2
11025,3,Custom attribute SL 3
11026,3,Custom attribute SL 4
11027,3,Custom attribute SL 5 (Least Severe)
11028,1,CT Simulation
11029,2,Patient Scan
11030,3,Patient position - protocol vs table incorr.
11031,3,Patient registration data incorr./miss.
11032,3,Patient registration data incorr./miss.
11033,3,Scan protocol for region incorr.
11034,3,"Series (scout, axial, etc.) incorr."
11035,3,FOV  incorr.
11036,3,"Patient centering (AP/PA, RL/LL) incorr."
11037,3,"Scan type (axial, helical) incorr."
11038,3,Orientation of patient vs. Tx planning  computer incorr.
11039,3,Gantry tilt incorr.
11040,3,"Poor technique factors (kVp, mA)"
11041,3,Custom attribute SL 1 (Most Severe)
11042,3,Custom attribute SL 2
11043,3,Custom attribute SL 3
11044,3,Custom attribute SL 4
11045,3,Custom attribute SL 5 (Least Severe)
11046,3,Axial/helical thickness incorr.
11047,3,Gantry tilt incorr.
11048,3,"Poor technique factors (kVp, mA)"
11049,3,Custom attribute SL 1 (Most Severe)
11050,3,Custom attribute SL 2
11051,3,Custom attribute SL 2
11052,3,Custom attribute SL 3
11053,3,Custom attribute SL 4
11054,3,Custom attribute SL 5 (Least Severe)
11055,2,Images
11056,3,Reconstruction of wrong scan data
11057,3,"Reconstruction type (soft, bone) incorr."
11058,3,"Image filter (smooth, edge) incorr."
11059,3,Matrix size incorr.
11060,3,Custom attribute SL 1 (Most Severe)
11061,3,Custom attribute SL 2
11062,3,Custom attribute SL 3
11063,3,Custom attribute SL 4
11064,3,Custom attribute SL 5 (Least Severe)
11065,2,Lasers Alignment System
11066,3,Lasers Z1-Z3 not at isocenter
11067,3,Z1-Z3 alignment error > 1 mm
11068,3,"CT and laser ""0"" not equal"
11069,3,Fudicials vs laser marks > 1mm
11070,3,Custom attribute SL 1 (Most Severe)
11071,3,Custom attribute SL 2
11072,3,Custom attribute SL 3
11073,3,Custom attribute SL 4
11074,3,Custom attribute SL 5 (Least Severe)
11075,1,Computer Tx Planning
11076,1,Computer Tx Planning
11077,2,Tx Plan
11078,3,Patient name incorr./miss.
11079,3,Plan identification incorr./miss.
11080,3,Tx site incorr./miss.
11081,3,Patient imaging orientation incorr.
11082,3,Patient Tx orientation incorr.
11083,3,Patient registration incorr.
11084,3,Image origin incorr.
11085,3,Patient structures mislabeled
11086,3,DVH miss.
11087,3,PET/CT image fusion incorr.
11088,3,PET/CT image fusion incorr.
11089,3,Photon or electron algorithm used incorr.
11090,3,Tx plan not signed within 1 week
11091,3,Custom attribute SL 1 (Most Severe)
11092,3,Custom attribute SL 2
11093,3,Custom attribute SL 3
11094,3,Custom attribute SL 4
11095,3,Custom attribute SL 5 (Least Severe)
11096,1,Dose Calculations
11097,2,Manual Calculations
11098,3,Tx site incorr./miss.
11099,3,Field names or nos. incorr./miss.
1110,3,Course
11100,3,Energy incorr./miss.
11101,3,Field size incorr./miss.
11102,3,SSD/SSD incorr./miss.
11103,3,Effective depth incorr./miss.
11104,3,Tray factor incorr./miss.
11105,3,Wedge factor incorr./miss.
11106,3,Bolus incorr./miss.
11107,3,"Calc. w/bolus, bolus not in Rx"
11108,3,Wrong collimator scatter factor
11109,3,Wrong phantom scatter factor
1111,3,Prescription site
11110,3,Wrong inverse square factor
11111,3,Math error
11112,3,Calc. using wrong dose
11113,3,Dose calc. not signed within 1 week
11114,3,Custom attribute SL 1 (Most Severe)
11115,3,Custom attribute SL 2
11116,3,Custom attribute SL 3
11117,3,Custom attribute SL 4
11118,3,Custom attribute SL 5 (Least Severe)
11119,2,Computer Calculations
1112,3,Technique
11120,3,Tx site incorr./miss.
11121,3,Field names or nos. incorr./miss.
11122,3,Energy incorr./miss.
11123,3,Mode of Tx incorr./miss.
11124,3,Field size incorr./miss.
11125,3,Asymmetric jaw incorr./miss.
11126,3,SSD/SAD incorr.
11127,3,Effective depth incorr.
11128,3,Gantry angle incorr./miss.
11129,3,Collimator angle incorr./miss.
1113,3,Modality (photons or electrons)
11130,3,Tray factor incorr./miss.
11131,3,Wedge angle incorr./miss.
11132,3,Bolus incorr./miss.
11133,3,Calc. to wrong point or structure
11134,3,Calc. to wrong point or structure
11135,3,Calc. not normalized correctly
11136,3,Inhomogeneity not used in calc.
11137,3,Prescribed dose percentage incorr.
11138,3,Dose at primary reference point incorr.
11139,3,Fractional dose incorr.
1114,3,Dose specification
11140,3,Custom attribute SL 1 (Most Severe)
11141,3,Custom attribute SL 2
11142,3,Custom attribute SL 3
11143,3,Custom attribute SL 4
11144,3,Custom attribute SL 5 (Least Severe)
11145,3,Calc. using wrong dose
11146,3,Calc. not normalized correctly
11147,3,Inhomogeneity not used in calc.
11148,3,Prescribed dose percentage incorr.
11149,3,Dose at primary reference point incorr.
1115,3,Depth
11150,3,Fractional dose incorr.
11151,3,Custom attribute SL 1 (Most Severe)
11152,3,Custom attribute SL 2
11153,3,Custom attribute SL 3
11154,3,Custom attribute SL 4
11155,3,Custom attribute SL 5 (Least Severe)
11156,1,Electron Cutouts
11157,2,Measurements
11158,3,Cutout used incorr.
11159,3,Dose incorr.
1116,3,Total dose
11160,3,Energy incorr.
11161,3,Cone size incorr.
11162,3,SSD incorr.
11163,3,Depth incorr.
11164,3,Isodose line incorr.
11165,3,Depth of measurement incorr.
11166,3,Energy used incorr.
11167,3,Custom attribute SL 1 (Most Severe)
11168,3,Custom attribute SL 2
11169,3,Custom attribute SL 3
1117,3,Fraction dose
11170,3,Custom attribute SL 4
11171,3,Custom attribute SL 5 (Least Severe)
11172,1,R & V
11173,2,Treatment Schedule
11174,3,Name incorr./miss.
11175,3,Date incorr./miss.
11176,3,Location incorr./miss.
11177,3,Recurring appointments incorr./miss.
11178,3,Scheduled pattern: daily incorr./miss.
11179,3,Scheduled pattern: twice daily incorr./miss.
1118,3,Fractions
11180,3,Scheduled pattern - weekly incorr./miss.
11181,3,Scheduled pattern - bi-weekly incorr./miss.
11182,3,Scheduled pattern - monthly incorr./miss.
11183,3,No. of appointments incorr./miss.
11184,3,Duration of appointment incorr./miss.
11185,3,New start (appointment) incorr./miss.
11186,3,Old start (appointment) incorr./miss.
11187,3,Final treatment (appointment) incorr./miss.
11188,3,Rescheduled appointment incorr./miss.
11189,3,Custom attribute SL 1 (Most Severe)
1119,3,Pattern
11190,3,Custom attribute SL 2
11191,3,Custom attribute SL 3
11192,3,Custom attribute SL 4
11193,3,Custom attribute SL 5 (Least Severe)
11194,2,Diagnosis
11195,3,Full name incorr./miss.
11196,3,Initial diagnosis date incorr./miss.
11197,3,"Diagnosis type (new primary, recurrent) incorr./miss."
11198,3,Diagnosis category (disease site) incorr./miss.
11199,3,Primary site (topography group) incorr./miss.
1120,3,Prescription note1
11200,3,Topography code (description) incorr./miss.
11201,3,Laterality incorr./miss.
11202,3,Morphology group incorr./miss.
11203,3,Morphology code (description) incorr./miss.
11204,3,Confirmation (histology) incorr./miss.
11205,3,Custom attribute SL 1 (Most Severe)
11206,3,Custom attribute SL 2
11207,3,Custom attribute SL 3
11208,3,Custom attribute SL 4
11209,3,Custom attribute SL 5 (Least Severe)
1121,3,Elect. appoval before 1st fx
11210,2,Staging
11211,3,Staging basis incorr./miss.
11212,3,H/P grade incorr./miss.
11213,3,Tumor size incorr./miss.
11214,3,TNM staging factors incorr./miss.
11215,3,Stage incorr./miss.
11216,3,Lymph invade incorr./miss.
11217,3,Venous invade incorr./miss.
11218,3,Regional nodes exam incorr./miss.
11219,3,Positive nodes incorr./miss.
1122,3,Custom Attribute
11220,3,Distant mets incorr./miss.
11221,3,Custom attribute SL 1 (Most Severe)
11222,3,Custom attribute SL 2
11223,3,Custom attribute SL 3
11224,3,Custom attribute SL 4
11225,3,Custom attribute SL 5 (Least Severe)
11226,2,Patient Care Plan
11227,3,Morphology - course no. incorr./miss.
11228,3,Effective date incorr./miss.
11229,3,Assigning physician incorr./miss.
11230,3,Protocol incorr./miss.
11231,3,Intent incorr./miss.
11232,3,Treatment modality - external beam incorr./miss.
11233,3,Treatment modality - surgery incorr./miss.
11234,3,Treatment modality - chemo incorr./miss.
11235,3,Treatment modality - hyper incorr./miss.
11236,3,Treatment modality - brachy incorr./miss.
11237,3,Treatment modality - hormone incorr./miss.
11238,3,Treatment modality - immuno incorr./miss.
11239,3,Treatment modality - bone morrow incorr./miss.
11240,3,Treatment modality - gene incorr./miss.
11241,3,Custom attribute SL 1 (Most Severe)
11242,3,Custom attribute SL 2
11243,3,Custom attribute SL 3
11244,3,Custom attribute SL 4
11245,3,Custom attribute SL 5 (Least Severe)
11246,2,Prescription
11247,3,Rx course incorr./miss.
11248,3,Rx site incorr./miss.
11249,3,Technique incorr./miss.
11250,3,Energy and modality (photons or electrons) incorr./miss.
11251,3,Dose spec incorr./miss.
11252,3,Rx depth incorr./miss.
11253,3,Rx dose incorr./miss.
11254,3,Fractional dose incorr./miss.
11255,3,Total cumulative dose incorr./miss.
11256,3,No. of fractions incorr./miss.
11257,3,Fractionation pattern (fx/day) incorr./miss.
11258,3,Pattern (fx/wk.) incorr./miss.
11259,3,"Comment (field nos., beam modifiers) incorr./miss."
11260,3,Electronic approval before 1st fx miss.
11261,3,Custom attribute SL 1 (Most Severe)
11262,3,Custom attribute SL 2
11263,3,Custom attribute SL 3
11264,3,Custom attribute SL 4
11265,3,Custom attribute SL 5 (Least Severe)
11266,2,Treatment Calendar
11267,3,Scheduled set of Tx fields incorr.
11268,3,No. of Tx sessions for schedule set incorr.
11269,3,Session/day - QD/BID/TID incorr.
11270,3,Pattern - daily/weekly/bi-weekly incorr.
11271,3,Starting date incorr.
11272,3,Ending date incorr.
11273,3,Tx calendar entries not approved
11274,3,Custom attribute SL 1 (Most Severe)
11275,3,Custom attribute SL 2
11276,3,Custom attribute SL 3
11277,3,Custom attribute SL 4
11278,3,Custom attribute SL 5 (Least Severe)
11279,2,Treatment Field Definitions
11280,3,Field no. incorr./miss.
11281,3,Field name incorr./miss.
11282,3,Dose incorr./miss.
11283,3,Machine incorr./miss.
11284,3,Tolerance incorr./miss.
11285,3,Type incorr./miss.
11286,3,Modality (photons or electrons) incorr./miss.
11287,3,Energy incorr./miss.
11288,3,MU incorr./miss.
11289,3,Time incorr./miss.
11290,3,Doserate incorr./miss.
11291,3,Fixed wedge angle incorr.
11292,3,Fixed wedge orientation incorr.
11293,3,"No fixed wedge specified, fixed wedge in plan"
11294,3,EDW angle incorr.
11295,3,EDW wedge orientation incorr.
11296,3,"No EDW specified, EDW in plan"
11297,3,Compensator incorr.
11298,3,"No comp specified, comp in plan"
11299,3,Block entered incorr.
11300,3,No block specified; blocks in plan
11301,3,Bolus entered incorr.
11302,3,No bolus entered; bolus in plan
11303,3,Cutout not indicated
11304,3,TSD incorr./miss.
11305,3,Gantry angle incorr./miss.
11306,3,Collimator angle incorr./miss.
11307,3,Field size incorr./miss.
11308,3,Asymmetric jaw incorr./miss.
11309,3,MLC incorr./miss.
11310,3,Couch vertical incorr.
11311,3,Couch angle incorr.
11312,3,Pedestal incorr.
11313,3,Custom attribute SL 1 (Most Severe)
11314,3,Custom attribute SL 2
11315,3,Custom attribute SL 3
11316,3,Custom attribute SL 4
11317,3,Custom attribute SL 5 (Least Severe)
11318,2,Dose Tracking
11319,3,Dose coefficients for Tx fields incorr./miss.
11320,2,Dose coefficients for secondary sites incorr./miss.
11321,2,Dose coefficients for secondary sites incorr./miss.
11322,3,Dose coefficients for secondary sites incorr./miss.
11323,3,Failure to define critical dose action points
11324,3,Custom attribute SL 1 (Most Severe)
11325,3,Custom attribute SL 2
11326,3,Custom attribute SL 3
11327,3,Custom attribute SL 4
11328,3,Custom attribute SL 5 (Least Severe)
11329,2,Daily Treatment Record
11330,3,Elapsed days incorr.
11331,3,Fraction no. incorr.
11332,3,Unapproved over-rides
11333,3,Failure to acknowledge dose action points
11334,3,Failure to acknowledge pre-Tx warnings
11335,3,Failure to acknowledge dose & fx warnings
11336,3,Failure to acknowledge Tx machine mismatch
11337,3,Failure to acknowledge post-Tx messages
11338,3,Failure to hide unused Tx fields in R&V
11339,3,Failure to approve initial Tx fields
11340,3,Daily dose incorr. recorded
11341,3,Daily dose not recorded
11342,3,Cum. dose incorr./not recorded
11343,3,Portal images not recorded
11344,3,Comments not filled out
11345,3,Failure to log in 2nd treating therapist
11346,3,Custom attribute SL 1 (Most Severe)
11347,3,Custom attribute SL 2
11348,3,Custom attribute SL 3
11349,3,Custom attribute SL 4
11350,3,Custom attribute SL 5 (Least Severe)
11351,1,Paper Treatment Chart
11352,2,Diagnosis
11353,3,Full name incorr./miss.
11354,3,Initial diagnosis date incorr./miss.
11355,3,"Diagnosis type (new primary,recurrent) incorr./miss."
11356,3,Diagnosis category (disease site) incorr./miss.
11357,3,Primary site (topography group) incorr./miss.
11358,3,Topography code (description) incorr./miss.
11359,3,Laterality incorr./miss.
11360,3,Morphology group incorr./miss.
11361,3,Morphology group incorr./miss.
11362,3,Confirmation (histology) incorr./miss.
11363,3,Custom attribute SL 1 (Most Severe)
11364,3,Custom attribute SL 2
11365,3,Custom attribute SL 3
11366,3,Custom attribute SL 4
11367,3,Custom attribute SL 4
11368,3,Custom attribute SL 5 (Least Severe)
11369,3,Morphology code (description) incorr./miss.
11370,3,Confirmation (histology) incorr./miss.
11371,3,Custom attribute SL 1 (Most Severe)
11372,3,Custom attribute SL 2
11373,3,Custom attribute SL 3
11374,3,Custom attribute SL 4
11375,3,Custom attribute SL 5 (Least Severe)
11376,2,Staging
11377,3,Staging basis incorr./miss.
11378,3,H/P grade incorr./miss.
11379,3,Tumor size incorr./miss.
11380,3,TNM staging factors incorr./miss.
11381,3,Stage incorr./miss.
11382,3,Lymph invade incorr./miss.
11383,3,Venous invade incorr./miss.
11384,3,Regional nodes exam incorr./miss.
11385,3,Positive nodes incorr./miss.
11386,3,Distant mets incorr./miss.
11387,3,Custom attribute SL 1 (Most Severe)
11388,3,Custom attribute SL 2
11389,3,Custom attribute SL 3
11390,3,Custom attribute SL 4
11391,3,Custom attribute SL 5 (Least Severe)
11392,2,Prescription
11393,3,Rx date incorr./miss.
11394,3,Rx course incorr./miss.
11395,3,Rx site incorr./miss.
11396,3,Field no. incorr./miss.
11397,3,Field name incorr./miss.
11398,3,Technique incorr./miss.
11399,3,Energy and modality (photons or electrons) incorr./miss.
11400,3,Dose specification incorr./miss.
11401,3,Rx depth incorr./miss.
11402,3,Total dose incorr./miss.
11403,3,Fractional dose incorr./miss.
11404,3,No. of fractions incorr./miss.
11405,3,"Pattern (fx/day, fx/wk.) incorr./miss."
11406,3,"Beam modifiers (wedges, bolus, compensators) incorr./miss."
11407,3,MD signature before 1st Tx miss.
11408,3,Custom attribute SL 1 (Most Severe)
11409,3,Custom attribute SL 2
11410,3,Custom attribute SL 3
11411,3,Custom attribute SL 4
11412,3,Custom attribute SL 5 (Least Severe)
11413,2,Patient Setup Documentation
11414,3,DRRs incorr./miss.
11415,3,Tx field photos incorr./miss.
11416,3,Set-up instructions incorr./miss.
11417,3,Custom attribute SL 1 (Most Severe)
11418,3,Custom attribute SL 2
11419,3,Custom attribute SL 3
11420,3,Custom attribute SL 4
11421,3,Custom attribute SL 5 (Least Severe)
11422,2,Treatment Field Information
11423,3,Date incorr./miss.
11424,3,Machine incorr./miss.
11425,3,Energy incorr./miss.
11426,3,Field no. incorr./miss.
11427,3,Field name incorr./miss.
11428,3,SSD incorr./miss.
11429,3,Field size incorr./miss.
11430,3,Gantry angle incorr./miss.
11431,3,Collimator angle incorr./miss.
11432,3,Couch angle incorr./miss.
11433,3,Blocks not corr. indicated
11434,3,Blocks drawn in wrong orientation
11435,3,Bolus not corr. indicated
11436,3,Fixed wedge angle not corr. indicated
11437,3,Fixed wedge orientation incorr.
11438,3,"No fixed wedge specified, fixed wedge in plan"
11439,3,EDW angle not corr. indicated
11440,3,EDW wedge orientation incorr.
11441,3,"No EDW specified, EDW in plan"
11442,3,Cutout not corr. indicated
11443,3,Cutout drawn in wrong orientation
11444,3,Monitor units incorr./miss.
11445,3,Dose incorr./miss.
11446,3,Custom attribute SL 1 (Most Severe)
11447,3,Custom attribute SL 2
11448,3,Custom attribute SL 3
11449,3,Custom attribute SL 4
11450,3,Custom attribute SL 5 (Least Severe)
11451,2,Daily Treatment Record
11452,3,Scheduled Tx date incorr.
11453,3,Elapsed days incorr./miss.
11454,3,Fraction no. incorr./miss.
11455,3,Unapproved R&V over-rides not recorded
11456,3,Daily dose incorr. recorded
11457,3,Daily dose not recorded
11458,3,Cumulative dose incorr./not recorded
11459,3,Portal films/images not recorded
11460,3,Important comments not filled out
11461,3,Custom attribute SL 1 (Most Severe)
11462,3,Custom attribute SL 2
11463,3,Custom attribute SL 3
11464,3,Custom attribute SL 4
11465,3,Custom attribute SL 5 (Least Severe)
11466,1,Patient Docs/Notes
11467,2,Plan of treatment not documented
11468,2,Default
11469,3,Initial consultation not completed
11470,3,DRRs incorr./miss.
11471,3,Tx field photos incorr./miss.
11472,3,Set-up instructions incorr./miss.
11473,3,Custom attribute SL 1 (Most Severe)
11474,3,Custom attribute SL 2
11475,3,Custom attribute SL 3
11476,3,Custom attribute SL 4
11477,3,Custom attribute SL 5 (Least Severe)
11478,3,Plan of treatment not documented
11479,3,Signed consent forms not present
11480,3,Weekly progress notes miss./late
11481,3,Tx (completion) summary not completed
11482,3,Follow-up evaluation not completed
11483,3,Custom attribute SL 1 (Most Severe)
11484,3,Custom attribute SL 2
11485,3,Custom attribute SL 3
11486,3,Custom attribute SL 4
11487,3,Custom attribute SL 5 (Least Severe)
11488,1,Patient Identification
11489,2,Default
11490,3,Redundant ID not performed
11491,3,Patient chart/folder utilized incorr.
11492,3,Patient pulled up in R&V incorr.
11493,3,Missing face photo
11494,3,Tx (completion) summary not completed
11495,3,Follow-up evaluation not completed
11496,3,Custom attribute SL 1 (Most Severe)
11497,3,Custom attribute SL 2
11498,3,Custom attribute SL 3
11499,3,Custom attribute SL 4
11500,3,Custom attribute SL 5 (Least Severe)
11501,1,Portal Images
11502,2,Radiographic Films
11503,3,Patient name incorr./miss.
11504,3,RO record no. incorr./miss.
11505,3,RO record no. incorr./miss.
11506,3,Field name incorr./miss.
11507,3,Labeling of anatomical orientation incorr.
11508,3,"kVp, mA, secs. not documented"
11509,3,"Poor technique factors (kVp, mA., secs.)"
11510,3,X&Y plane blade settings incorr.
11511,3,Films not taken prior to 1st fx
11512,3,Initial films not approved before 1st fx
11513,3,Initial films not taken of all fields
11514,3,Weekly films not taken
11515,3,Custom attribute SL 1 (Most Severe)
